#start bei 5e-3
#t #p[e-3hPa]

0   5.00    5.00    5.00 
5   0.171   0.328   0.959
10  0.0852  0.0356  0.0310
15  0.0191  0.0202  0.0161
20  0.0157  0.0160  0.0119
25  0.0143  0.0145  0.0108
30  0.0135  0.0135  0.0101
35  0.0129  0.0129  0.0097
40  0.0124  0.0123  0.0093
45  0.0120  0.0119  0.0090
50  0.0116  0.0115  0.0088
55  0.0113  0.0112  0.0086
60  0.0110  0.0109  0.0084
65  0.0108  0.0106  0.0083 
70  0.0105  0.0104  0.0082
75  0.0103  0.0102  0.0081
80  0.0101  0.0100  0.0079
85  0.0100  0.0098  0.0079
90  0.0098  0.0097  0.0078
95  0.0097  0.0095  0.0077
100 0.0095  0.0094  0.0076
110 0.0094  0.0093  0.0076
115 0.0093  0.0092  0.0075
120 0.0092  0.0091  0.0074
